STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1631183803|1631183869|66000|2021/09/09:16:06:43|2021/09/09:16:07:49|0h 1m 6s|q15|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|28
1631183881|1631183964|83000|2021/09/09:16:08:01|2021/09/09:16:09:24|0h 1m 23s|q16|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|3124
1631183976|1631183985|9000|2021/09/09:16:09:36|2021/09/09:16:09:45|0h 0m 9s|q17|1|engine_validation_power_test|0|FAILED|64|EMPTY|0
1631183997|1631184006|9000|2021/09/09:16:09:57|2021/09/09:16:10:06|0h 0m 9s|q18|1|engine_validation_power_test|0|FAILED|64|EMPTY|0
1631184018|1631184152|134000|2021/09/09:16:10:18|2021/09/09:16:12:32|0h 2m 14s|q19|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|108695
1631184165|1631184264|99000|2021/09/09:16:12:45|2021/09/09:16:14:24|0h 1m 39s|q20|1|engine_validation_power_test|0|FAILED|127|EMPTY|0
1631184276|1631184484|208000|2021/09/09:16:14:36|2021/09/09:16:18:04|0h 3m 28s|q21|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|2896
1631184497|1631184581|84000|2021/09/09:16:18:17|2021/09/09:16:19:41|0h 1m 24s|q22|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|4612
1631184594|1631184602|8000|2021/09/09:16:19:54|2021/09/09:16:20:02|0h 0m 8s|q23|1|engine_validation_power_test|0|FAILED|64|EMPTY|0
1631184614|1631184770|156000|2021/09/09:16:20:14|2021/09/09:16:22:50|0h 2m 36s|q24|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|17
1631184782|1631184942|160000|2021/09/09:16:23:02|2021/09/09:16:25:42|0h 2m 40s|q25|1|engine_validation_power_test|0|FAILED|127|EMPTY|0
1631184954|1631185017|63000|2021/09/09:16:25:54|2021/09/09:16:26:57|0h 1m 3s|q26|1|engine_validation_power_test|0|FAILED|127|EMPTY|0
1631185029|1631185073|44000|2021/09/09:16:27:09|2021/09/09:16:27:53|0h 0m 44s|q27|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|75324
1631185085|1631185137|52000|2021/09/09:16:28:05|2021/09/09:16:28:57|0h 0m 52s|q28|1|engine_validation_power_test|0|FAILED|127|EMPTY|0
1631185150|1631185252|102000|2021/09/09:16:29:10|2021/09/09:16:30:52|0h 1m 42s|q29|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|341
1631185264|1631185336|72000|2021/09/09:16:31:04|2021/09/09:16:32:16|0h 1m 12s|q30|1|engine_validation_power_test|0|FAILED|32|EMPTY|0
1631185393|1631185429|36000|2021/09/09:16:33:13|2021/09/09:16:33:49|0h 0m 36s|dataGen_base|1|run_query|0|SUCCESS|0||
1631185429|1631185452|23000|2021/09/09:16:33:49|2021/09/09:16:34:12|0h 0m 23s|dataGen_refresh|run_query|0|SUCCESS|0
1631185455|1631185955|500000|2021/09/09:16:34:15|2021/09/09:16:42:35|0h 8m 20s|Load data|1|Load data|0|SUCCESS|0||
1631185966|1631186072|106000|2021/09/09:16:42:46|2021/09/09:16:44:32|0h 1m 46s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1631186084|1631186147|63000|2021/09/09:16:44:44|2021/09/09:16:45:47|0h 1m 3s|q02|1|power_test|0|FAILED|32|EMPTY|0
1631186159|1631186220|61000|2021/09/09:16:45:59|2021/09/09:16:47:00|0h 1m 1s|q03|1|power_test|0|FAILED|32|EMPTY|0
1631186232|1631186242|10000|2021/09/09:16:47:12|2021/09/09:16:47:22|0h 0m 10s|q04|1|power_test|0|FAILED|64|EMPTY|0
1631186255|1631186287|32000|2021/09/09:16:47:35|2021/09/09:16:48:07|0h 0m 32s|q05|1|power_test|0|FAILED|2|EMPTY|0
1631186300|1631186438|138000|2021/09/09:16:48:20|2021/09/09:16:50:38|0h 2m 18s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1631186450|1631186630|180000|2021/09/09:16:50:50|2021/09/09:16:53:50|0h 3m 0s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1631186643|1631186724|81000|2021/09/09:16:54:03|2021/09/09:16:55:24|0h 1m 21s|q08|1|power_test|0|FAILED|32|EMPTY|0
1631186736|1631186780|44000|2021/09/09:16:55:36|2021/09/09:16:56:20|0h 0m 44s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1631186793|1631186932|139000|2021/09/09:16:56:33|2021/09/09:16:58:52|0h 2m 19s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
1631186944|1631187051|107000|2021/09/09:16:59:04|2021/09/09:17:00:51|0h 1m 47s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1631187064|1631187188|124000|2021/09/09:17:01:04|2021/09/09:17:03:08|0h 2m 4s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1631187201|1631187333|132000|2021/09/09:17:03:21|2021/09/09:17:05:33|0h 2m 12s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1631187346|1631187387|41000|2021/09/09:17:05:46|2021/09/09:17:06:27|0h 0m 41s|q14|1|power_test|0|SUCCESS|0|HAS_RESULT|7
1631187400|1631187465|65000|2021/09/09:17:06:40|2021/09/09:17:07:45|0h 1m 5s|q15|1|power_test|0|SUCCESS|0|HAS_RESULT|28
1631187478|1631187564|86000|2021/09/09:17:07:58|2021/09/09:17:09:24|0h 1m 26s|q16|1|power_test|0|SUCCESS|0|HAS_RESULT|3124
1631187576|1631187586|10000|2021/09/09:17:09:36|2021/09/09:17:09:46|0h 0m 10s|q17|1|power_test|0|FAILED|64|EMPTY|0
1631187598|1631187607|9000|2021/09/09:17:09:58|2021/09/09:17:10:07|0h 0m 9s|q18|1|power_test|0|FAILED|64|EMPTY|0
